,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
407,AZ,Pima County,4,19,5/22/2021,2,,,,
408,AZ,Pima County,4,19,5/23/2021,2,,,,
409,AZ,Pima County,4,19,5/24/2021,2,,,,
410,AZ,Pima County,4,19,5/25/2021,2,,,,
411,AZ,Pima County,4,19,5/26/2021,2,,,,
412,AZ,Pima County,4,19,5/27/2021,2,,,,
413,AZ,Pima County,4,19,5/28/2021,2,,,,
414,AZ,Pima County,4,19,5/29/2021,2,,,,
415,AZ,Pima County,4,19,5/30/2021,2,,,,
416,AZ,Pima County,4,19,5/31/2021,2,,,,
417,AZ,Pima County,4,19,6/1/2021,2,,,,
418,AZ,Pima County,4,19,6/2/2021,2,,,,
419,AZ,Pima County,4,19,6/3/2021,2,,,,
420,AZ,Pima County,4,19,6/4/2021,2,,,,
421,AZ,Pima County,4,19,6/5/2021,2,,,,
422,AZ,Pima County,4,19,6/6/2021,2,,,,
423,AZ,Pima County,4,19,6/7/2021,2,,,,
424,AZ,Pima County,4,19,6/8/2021,2,,,,
425,AZ,Pima County,4,19,6/9/2021,2,,,,
426,AZ,Pima County,4,19,6/10/2021,2,,,,
427,AZ,Pima County,4,19,6/11/2021,2,,,,
428,AZ,Pima County,4,19,6/12/2021,2,,,,
429,AZ,Pima County,4,19,6/13/2021,2,,,,
430,AZ,Pima County,4,19,6/14/2021,2,,,,
431,AZ,Pima County,4,19,6/15/2021,2,,,,
432,AZ,Pima County,4,19,6/16/2021,2,,,,
433,AZ,Pima County,4,19,6/17/2021,2,,,,
434,AZ,Pima County,4,19,6/18/2021,2,,,,
435,AZ,Pima County,4,19,6/19/2021,2,,,,
436,AZ,Pima County,4,19,6/20/2021,2,,,,
437,AZ,Pima County,4,19,6/21/2021,2,,,,
438,AZ,Pima County,4,19,6/22/2021,2,,,,
439,AZ,Pima County,4,19,6/23/2021,2,,,,
440,AZ,Pima County,4,19,6/24/2021,2,,,,
441,AZ,Pima County,4,19,6/25/2021,2,,,,
442,AZ,Pima County,4,19,6/26/2021,2,,,,
443,AZ,Pima County,4,19,6/27/2021,2,,,,
444,AZ,Pima County,4,19,6/28/2021,2,,,,
445,AZ,Pima County,4,19,6/29/2021,2,,,,
446,AZ,Pima County,4,19,6/30/2021,2,,,,
447,AZ,Pima County,4,19,7/1/2021,2,,,,
448,AZ,Pima County,4,19,7/2/2021,2,,,,
449,AZ,Pima County,4,19,7/3/2021,2,,,,
450,AZ,Pima County,4,19,7/4/2021,2,,,,
451,AZ,Pima County,4,19,7/5/2021,2,,,,
452,AZ,Pima County,4,19,7/6/2021,2,,,,
453,AZ,Pima County,4,19,7/7/2021,2,,,,
454,AZ,Pima County,4,19,7/8/2021,2,,,,
455,AZ,Pima County,4,19,7/9/2021,2,,,,
456,AZ,Pima County,4,19,7/10/2021,2,,,,
457,AZ,Pima County,4,19,7/11/2021,2,,,,
458,AZ,Pima County,4,19,7/12/2021,2,,,,
459,AZ,Pima County,4,19,7/13/2021,2,,,,
460,AZ,Pima County,4,19,7/14/2021,2,,,,
461,AZ,Pima County,4,19,7/15/2021,2,,,,
462,AZ,Pima County,4,19,7/16/2021,2,,,,
463,AZ,Pima County,4,19,7/17/2021,2,,,,
464,AZ,Pima County,4,19,7/18/2021,2,,,,
465,AZ,Pima County,4,19,7/19/2021,2,,,,
466,AZ,Pima County,4,19,7/20/2021,2,,,,
467,AZ,Pima County,4,19,7/21/2021,2,,,,
468,AZ,Pima County,4,19,7/22/2021,2,,,,
469,AZ,Pima County,4,19,7/23/2021,2,,,,
470,AZ,Pima County,4,19,7/24/2021,2,,,,
471,AZ,Pima County,4,19,7/25/2021,2,,,,
472,AZ,Pima County,4,19,7/26/2021,2,,,,
473,AZ,Pima County,4,19,7/27/2021,2,,,,
474,AZ,Pima County,4,19,7/28/2021,2,,,,
475,AZ,Pima County,4,19,7/29/2021,2,,,,
476,AZ,Pima County,4,19,7/30/2021,2,,,,
477,AZ,Pima County,4,19,7/31/2021,2,,,,
478,AZ,Pima County,4,19,8/1/2021,2,,,,
479,AZ,Pima County,4,19,8/2/2021,2,,,,
480,AZ,Pima County,4,19,8/3/2021,2,,,,
481,AZ,Pima County,4,19,8/4/2021,2,,,,
482,AZ,Pima County,4,19,8/5/2021,2,,,,
483,AZ,Pima County,4,19,8/6/2021,2,,,,
484,AZ,Pima County,4,19,8/7/2021,2,,,,
485,AZ,Pima County,4,19,8/8/2021,2,,,,
486,AZ,Pima County,4,19,8/9/2021,2,,,,
487,AZ,Pima County,4,19,8/10/2021,2,,,,
